key_0,label,Table name,ROW_ID,ITEMID,LABEL,ABBREVIATION,DBSOURCE,LINKSTO,CATEGORY,UNITNAME,PARAM_TYPE,CONCEPTID,FLUID,LOINC_CODE
albumin 5%,albumin 5%,inputevents,5094,30008,Albumin 5%,,carevue,inputevents_cv,,,,,,
albumin 5%,albumin 5%,inputevents,12862,220864,Albumin 5%,Albumin 5%,metavision,inputevents_mv,Blood Products/Colloids,mL,Solution,,,
fresh frozen plasma,fresh frozen plasma,inputevents,5093,30005,Fresh Frozen Plasma,,carevue,inputevents_cv,,,,,,
fresh frozen plasma,fresh frozen plasma,inputevents,12885,220970,Fresh Frozen Plasma,FFP,metavision,inputevents_mv,Blood Products/Colloids,mL,Solution,,,
lorazepam (ativan),lorazepam (ativan),inputevents,12964,221385,Lorazepam (Ativan),Lorazepam (Ativan),metavision,inputevents_mv,Medications,mg,Solution,,,
calcium gluconate,calcium gluconate,inputevents,5100,30023,Calcium Gluconate,,carevue,inputevents_cv,,,,,,
calcium gluconate,calcium gluconate,inputevents,12967,221456,Calcium Gluconate,Calcium Gluconate,metavision,inputevents_mv,Medications,grams,Solution,,,
midazolam (versed),midazolam (versed),inputevents,12973,221668,Midazolam (Versed),Midazolam (Versed),metavision,inputevents_mv,Medications,mg,Solution,,,
phenylephrine,phenylephrine,inputevents,12978,221749,Phenylephrine,Phenylephrine,metavision,inputevents_mv,Medications,mg,Solution,,,
furosemide (lasix),furosemide (lasix),inputevents,12979,221794,Furosemide (Lasix),Furosemide (Lasix),metavision,inputevents_mv,Medications,mg,Solution,,,
hydralazine,hydralazine,inputevents,12981,221828,Hydralazine,Hydralazine,metavision,inputevents_mv,Medications,mg,Solution,,,
norepinephrine,norepinephrine,inputevents,12984,221906,Norepinephrine,Norepinephrine,metavision,inputevents_mv,Medications,mg,Solution,,,
magnesium sulfate,magnesium sulfate,inputevents,5353,30027,Magnesium Sulfate,,carevue,inputevents_cv,,,,,,
magnesium sulfate,magnesium sulfate,inputevents,12986,222011,Magnesium Sulfate,Magnesium Sulfate,metavision,inputevents_mv,Medications,grams,Solution,,,
nitroglycerin,nitroglycerin,inputevents,12991,222056,Nitroglycerin,Nitroglycerin,metavision,inputevents_mv,Medications,mg,Solution,,,
insulin - regular,insulin - regular,inputevents,13003,223258,Insulin - Regular,Insulin - Regular,metavision,inputevents_mv,Medications,units,Solution,,,
morphine sulfate,morphine sulfate,inputevents,5418,30126,Morphine Sulfate,,carevue,inputevents_cv,,,,,,
morphine sulfate,morphine sulfate,inputevents,13754,225154,Morphine Sulfate,Morphine Sulfate,metavision,inputevents_mv,Medications,mg,Solution,,,
